firm_llc_id,sector,founded_year,employees_fte,annual_tech_spend,capital_invested,profit_margin_percent,online_revenue_share_percent,total_quarterly_labor_hours,quarterly_revenue_2023_Q1,quarterly_revenue_2023_Q2,quarterly_revenue_2023_Q3,quarterly_revenue_2023_Q4,quarterly_revenue_2024_Q1,quarterly_revenue_2024_Q2,quarterly_revenue_2024_Q3,quarterly_revenue_2024_Q4,quarterly_revenue_2025_Q1,quarterly_revenue_2025_Q2,quarterly_revenue_2025_Q3,quarterly_revenue_2025_Q4,tech_tools_list,tools_frequency_of_use,n_tools,tls_raw,tls_scaled
Upwork (UPWK),Tech,2015,2100000,85000000.0,50000000.0,3.5,100,336000000,503600000,508400000,515700000,526300000,510900000,499300000,515000000,530000000,545000000,560000000,0,0,"AWS, React, Python, Kafka, PostgreSQL, DataDog, Splunk, GitHub, Jira",High,9,2.2767857142857144,2276.785714285714
BigCommerce (BIGC),Tech,2009,2300000,120000000.0,65000000.0,-6.2,100,368000000,72000000,75400000,78000000,84200000,80400000,84300000,88000000,92500000,96000000,100000000,0,0,"AWS, Google Cloud, PHP, React, Kubernetes, MySQL, New Relic, GitLab",High,8,2.608695652173913,2608.695652173913
Jamf Holding (JAMF),Tech,2002,2800000,95000000.0,40000000.0,-5.8,100,448000000,140800000,150100000,150600000,150900000,152100000,156700000,160000000,163000000,166000000,169000000,0,0,"AWS, Azure, Python, Swift, Kafka, PostgreSQL, Jenkins, Jira",High,8,1.6964285714285714,1696.4285714285713
Asana (ASAN),Tech,2008,1900000,110000000.0,70000000.0,-34.0,100,304000000,152400000,162500000,166500000,171100000,171400000,172900000,176000000,180000000,184000000,188000000,0,0,"Proprietary ""Luna"" DB, React, TypeScript, AWS, Kafka, Presto, Figma, GitHub",High,8,2.8947368421052633,2894.7368421052633
Array Technologies (ARRY),Tech,1989,1400000,18000000.0,25000000.0,7.1,15,224000000,376000000,500600000,350400000,341600000,153400000,326400000,360000000,400000000,220000000,380000000,0,0,"SAP, SolidWorks, Salesforce, Tableau, Python, AWS IoT",Medium,6,0.48214285714285715,482.14285714285717
Shoals Technologies (SHLS),Tech,1996,1200000,12000000.0,40000000.0,21.5,10,192000000,105200000,134600000,119900000,130400000,90400000,79100000,85000000,95000000,100000000,110000000,0,0,"AutoCAD, PLM systems, SAP, Salesforce, AWS",Low-Medium,5,0.3125,312.5
FuelCell Energy (FCEL),Tech,1969,1000000,20000000.0,30000000.0,-20.0,0,520000,22200000,25100000,28400000,30100000,32500000,35200000,38000000,40500000,43000000,45800000,0,0,"AWS, Python, MATLAB, Simulink, ANSYS, SolidWorks",Medium,6,230.76923076923077,230769.23076923078
Desktop Metal (DM),Tech,2015,800000,25000000.0,40000000.0,-15.5,20,416000,45300000,48100000,50200000,52600000,54800000,57200000,59500000,62000000,64500000,67200000,0,0,"SolidWorks, ANSYS, Python, AWS, Kubernetes, GitLab",High,6,360.5769230769231,360576.9230769231
Proto Labs (PRLB),Tech,1999,2100000,18000000.0,22000000.0,8.2,85,1092000,122400000,125600000,128900000,131200000,133500000,136800000,139100000,142400000,145700000,149100000,0,0,"AWS, Python, CAD/CAM, SAP, Tableau, Jira",High,6,98.9010989010989,98901.0989010989
iRhythm Technologies (IRTC),Tech,2006,1400000,30000000.0,45000000.0,-12.3,90,728000,110500000,115200000,119800000,124500000,129300000,134200000,139100000,144000000,149000000,154100000,0,0,"AWS, Python, TensorFlow, PostgreSQL, React, GitHub",High,6,247.25274725274724,247252.74725274724
Cloudflare (NET),Tech,2009,3500000,150000000.0,200000000.0,-5.8,100,1820000,290100000,305400000,320800000,336500000,352300000,368200000,384300000,400500000,417000000,433700000,0,0,"Proprietary CDN, Rust, Go, Kubernetes, PostgreSQL, DataDog",High,6,494.5054945054945,494505.4945054945
Fastly (FSLY),Tech,2011,1300000,80000000.0,100000000.0,-18.5,100,676000,102500000,108300000,114200000,120100000,126200000,132400000,138700000,145100000,151600000,158200000,0,0,"AWS, Terraform, Go, Varnish, New Relic, GitHub",High,6,710.0591715976332,710059.1715976332
MongoDB (MDB),Tech,2007,5200000,220000000.0,180000000.0,-7.4,100,2704000,368400000,388200000,408900000,430500000,452200000,474800000,498300000,522800000,547400000,573100000,0,0,"Proprietary DB, AWS, Kubernetes, Python, DataDog, Jira",High,6,488.1656804733728,488165.6804733728
Zebra Technologies (ZBRA),Tech,1969,10500000,120000000.0,150000000.0,10.5,40,5460000,1450000000,1480000000,1510000000,1540000000,1570000000,1600000000,1630000000,1660000000,1690000000,1720000000,0,0,"AWS, Java, SAP, Tableau, Salesforce, IoT Edge",Medium,6,131.86813186813185,131868.13186813187
Rockwell Automation (ROK),Tech,1903,26000000,250000000.0,300000000.0,13.2,25,13520000,2120000000,2180000000,2240000000,2300000000,2360000000,2420000000,2480000000,2540000000,2600000000,2660000000,0,0,"Azure, Python, Ignition, SAP, Tableau, Studio 5000",Medium,6,110.94674556213018,110946.74556213018
Etsy (ETSY),Tech,2005,2400000,110000000.0,90000000.0,12.8,100,1248000,640500000,655200000,670100000,685200000,700500000,716000000,731700000,747600000,763700000,780000000,0,0,"AWS, React, Python, Kafka, PostgreSQL, GitHub",High,6,528.8461538461538,528846.1538461538
Chewy (CHWY),Tech,2011,21000000,180000000.0,220000000.0,-2.5,100,10920000,2780000000,2850000000,2920000000,2990000000,3060000000,3130000000,3200000000,3270000000,3340000000,3410000000,0,0,"AWS, Java, Kafka, React, Tableau, Jenkins",High,6,98.9010989010989,98901.0989010989
Bloom Energy (BE),Tech,2001,2800000,95000000.0,120000000.0,-8.9,5,1456000,275300000,290100000,305200000,320600000,336300000,352300000,368600000,385200000,402100000,419300000,0,0,"AWS, Python, MATLAB, SolidWorks, SAP, DataDog",Medium,6,391.4835164835165,391483.5164835165
Quanta Services (PWR),Tech,1997,48000000,350000000.0,400000000.0,5.8,10,24960000,5120000000,5250000000,5380000000,5510000000,5640000000,5770000000,5900000000,6030000000,6160000000,6290000000,0,0,"SAP, Oracle, AutoCAD, AWS, Tableau, GIS tools",Medium,6,84.13461538461539,84134.61538461539
SunPower (SPWR),Tech,1985,3000000,60000000.0,80000000.0,-4.2,30,1560000,430500000,445200000,460100000,475200000,490500000,506000000,521700000,537600000,553700000,570000000,0,0,"AWS, Python, Salesforce, SAP, Tableau, Jira",Medium,6,230.76923076923077,230769.23076923078
Enphase Energy (ENPH),Tech,2006,3800000,140000000.0,160000000.0,18.5,40,1976000,726100000,750200000,774800000,799900000,825500000,851600000,878200000,905300000,932900000,961000000,0,0,"AWS, Python, IoT Stack, PostgreSQL, React, GitHub",High,6,425.1012145748988,425101.21457489877
3D Systems (DDD),Tech,1986,2100000,35000000.0,50000000.0,-9.8,25,1092000,126400000,130200000,134100000,138100000,142200000,146400000,150700000,155100000,159600000,164200000,0,0,"SolidWorks, Python, AWS, SAP, GitLab, Jira",Medium,6,192.30769230769232,192307.6923076923
Stratasys (SSYS),Tech,1989,2400000,40000000.0,55000000.0,-6.5,30,1248000,162300000,167200000,172200000,177300000,182500000,187800000,193200000,198700000,204300000,210000000,0,0,"AWS, Python, CAD, SAP, Tableau, GitHub",Medium,6,192.30769230769232,192307.6923076923
Dexcom (DXCM),Tech,1999,8500000,200000000.0,250000000.0,15.3,20,4420000,815600000,840100000,865200000,890900000,917200000,944100000,971600000,999700000,1028400000,1057700000,0,0,"AWS, Python, React, PostgreSQL, DataDog, Jira",High,6,271.49321266968326,271493.2126696833
Insulet (PODD),Tech,2000,4200000,90000000.0,110000000.0,9.8,15,2184000,395400000,407300000,419500000,432000000,444800000,457900000,471300000,485000000,499000000,513300000,0,0,"AWS, Python, SAP, Salesforce, Tableau, GitHub",Medium,6,247.25274725274724,247252.74725274724
Twilio (TWLO),Tech,2008,7000000,180000000.0,220000000.0,-12.0,100,3640000,1020000000,1050000000,1080000000,1110000000,1140000000,1170000000,1200000000,1230000000,1260000000,1290000000,0,0,"AWS, Node.js, React, Kafka, DataDog, GitHub",High,6,296.7032967032967,296703.2967032967
Plug Power (PLUG),Clean Tech,1997,3400,45000000.0,120000000.0,-32.5,5,353600,210200000,198400000,185700000,222600000,120300000,135200000,148700000,167400000,184200000,202600000,0,0,"AWS, Python, MATLAB, CAD, SolidWorks",Medium,5,636.3122171945702,636312.2171945701
Sunrun (RUN),Clean Tech,2007,5200,65000000.0,180000000.0,-8.0,25,540800,590300000,612400000,632100000,651800000,525600000,543200000,560900000,579400000,598700000,618900000,0,0,"Salesforce, AWS, Python, Tableau, Jira",High,5,600.9615384615385,600961.5384615385
Sunnova (NOVA),Clean Tech,2012,2100,38000000.0,150000000.0,-22.0,30,218400,148600000,161200000,174500000,188700000,163400000,177200000,191600000,206900000,223200000,240500000,0,0,"AWS, Salesforce, Python, Tableau",Medium,4,695.9706959706959,695970.6959706959
Sunlight Financial (SUNL),FinTech,2014,320,12000000.0,45000000.0,-46.0,95,33280,22400000,24800000,27300000,30100000,15600000,17200000,18900000,20800000,22900000,25200000,0,0,"AWS, Python, React, PostgreSQL, FastAPI",High,5,1802.8846153846155,1802884.6153846155
Sunnova (NOVA),Clean Tech,2012,2100,38000000.0,150000000.0,-22.0,30,218400,148600000,161200000,174500000,188700000,163400000,177200000,191600000,206900000,223200000,240500000,0,0,"AWS, Salesforce, Python, Tableau",Medium,4,695.9706959706959,695970.6959706959
Palantir (PLTR),Enterprise Tech,2003,3800,180000000.0,250000000.0,5.0,40,395200,525200000,533300000,558200000,608400000,634300000,642800000,652400000,664300000,676500000,689100000,0,0,"Proprietary, Python, AWS, Spark, K8s",High,5,2277.327935222672,2277327.935222672
C3.ai (AI),Enterprise Tech,2009,850,95000000.0,120000000.0,-31.0,100,88400,72400000,72300000,73200000,78400000,66800000,67400000,72400000,73800000,75300000,76800000,0,0,"AWS, Python, TensorFlow, PostgreSQL",High,4,4298.6425339366515,4298642.533936651
UiPath (PATH),Enterprise Tech,2005,4100,160000000.0,220000000.0,-9.0,100,426400,289700000,308500000,325900000,336500000,335100000,359600000,384600000,405400000,426800000,449000000,0,0,".NET, AWS, Azure, Python, React",High,5,1876.172607879925,1876172.607879925
SentinelOne (S),Cybersecurity,2013,2300,140000000.0,180000000.0,-43.0,100,239200,133400000,149400000,164200000,174200000,186300000,204300000,223900000,234700000,246400000,258800000,0,0,"AWS, Go, Python, K8s, PostgreSQL",High,5,2926.4214046822744,2926421.4046822744
CrowdStrike (CRWD),Cybersecurity,2011,8900,320000000.0,450000000.0,3.0,100,925600,692600000,731600000,786000000,845300000,921000000,945800000,971300000,1030900000,1051500000,1072500000,0,0,"AWS, Python, Go, K8s, Kafka",High,5,1728.608470181504,1728608.4701815038
Snowflake (SNOW),Enterprise Tech,2012,6200,280000000.0,350000000.0,-17.0,100,644800,623600000,674000000,734200000,774700000,828800000,869400000,911800000,957400000,1004300000,1054500000,0,0,"Proprietary, AWS, Azure, Python",High,4,1736.9727047146403,1736972.7047146403
Datadog (DDOG),Enterprise Tech,2010,5400,220000000.0,280000000.0,8.0,100,561600,481700000,509500000,547500000,589600000,611600000,642200000,673400000,706100000,740400000,775400000,0,0,"AWS, Go, Python, Kafka, K8s",High,5,1958.6894586894587,1958689.4586894587
Okta (OKTA),Enterprise Tech,2009,6100,210000000.0,300000000.0,-15.0,100,634400,518000000,556000000,584000000,605000000,617000000,628000000,640000000,652000000,665000000,679000000,0,0,"AWS, Java, React, K8s, PostgreSQL",High,5,1655.1071878940731,1655107.187894073
DocuSign (DOCU),Enterprise Tech,2003,7400,250000000.0,320000000.0,3.0,100,769600,661400000,687700000,700400000,712500000,659600000,687400000,716000000,740800000,766100000,792200000,0,0,"AWS, .NET, React, Kafka, K8s",High,5,1624.2203742203742,1624220.3742203743
Zoom (ZM),Enterprise Tech,2011,7200,240000000.0,280000000.0,12.0,100,748800,1105000000,1138900000,1141800000,1127500000,1125300000,1138800000,1152500000,1166500000,1180800000,1195300000,0,0,"AWS, Python, React, K8s, PostgreSQL",High,5,1602.5641025641025,1602564.1025641025
Roku (ROKU),Consumer Tech,2002,3600,180000000.0,220000000.0,-17.0,85,374400,740500000,847200000,912000000,865300000,941000000,846000000,761000000,832000000,860000000,890000000,0,0,"AWS, Python, React, Kafka, K8s",High,5,2403.846153846154,2403846.153846154
Unity (U),Enterprise Tech,2004,8000,290000000.0,350000000.0,-24.0,95,832000,500300000,533500000,544200000,609800000,486400000,447000000,457400000,403000000,410000000,418000000,0,0,"Proprietary, AWS, Python, Git",High,4,1394.2307692307693,1394230.7692307692
Roblox (RBLX),Consumer Tech,2004,2100,280000000.0,400000000.0,-19.0,100,218400,655300000,680800000,713200000,749900000,801300000,835100000,869600000,905000000,941200000,978800000,0,0,"AWS, Lua, C++, K8s, Redis",High,5,6410.25641025641,6410256.41025641
Twilio (TWLO),Enterprise Tech,2008,7000,180000000.0,220000000.0,-12.0,100,728000,1020000000,1050000000,1080000000,1110000000,1140000000,1170000000,1200000000,1230000000,1260000000,1290000000,0,0,"AWS, Node.js, React, Kafka",High,4,989.010989010989,989010.989010989
Bill.com (BILL),FinTech,2006,3200,120000000.0,180000000.0,-3.0,100,332800,272600000,295900000,319500000,318500000,296000000,299900000,304800000,310800000,316800000,323100000,0,0,"AWS, Python, React, PostgreSQL",High,4,1442.3076923076924,1442307.6923076925
Zscaler (ZS),Cybersecurity,2007,8696,899000000.0,230000000.0,-2.5,100,18087680,509112714,521840532,534886546,548258709,561965177,576014306,590414664,605175031,620304406,635812017,651707317,668000000,"AWS, Python, Kubernetes, Go, Zero Trust Exchange",High,5,248.5116941476187,248511.6941476187
CyberArk Software (CYBR),Cybersecurity,1999,3793,280000000.0,60000000.0,-7.2,90,7889440,234786915,241830522,249085438,256558001,264254741,272182383,280347855,288758291,297421039,306343670,315533981,325000000,"AWS, Databricks, PostgreSQL, Hadoop, Venafi",High,5,177.45239205824495,177452.39205824496
Check Point Software (CHKP),Cybersecurity,1993,8300,464000000.0,30000000.0,30.5,85,17264000,548909524,559887715,571085469,582507178,594157322,606040468,618161278,630524503,643134993,655997693,669117647,682500000,"AWS, Azure GCP, Harmony SASE, Python",High,4,107.50695088044486,107506.95088044486
Akamai Technologies (AKAM),Cybersecurity,1998,11161,906000000.0,900000000.0,11.0,100,23214880,828390930,844958749,861857924,879095082,896676984,914610524,932902734,951560789,970592005,990003845,1009803922,1030000000,"AWS, Linode Cloud, Kubernetes, CDN edge infra",High,4,156.10677289738305,156106.77289738305
F5 Inc (FFIV),Cybersecurity,1996,6462,556000000.0,43000000.0,22.4,70,13440960,620911173,633329396,645995984,658915904,672094222,685536106,699246828,713231765,727496400,742046328,756887255,772025000,"AWS, Azure, NGINX, BIG-IP, Kubernetes",High,5,206.8304644906316,206830.46449063162
Rapid7 (RPD),Cybersecurity,2000,2613,192000000.0,15000000.0,1.1,85,5435040,163708699,167801417,171996452,176296363,180703772,185221367,189851901,194598199,199463153,204449732,209560976,214800000,"AWS, InsightCloud, Metasploit, Jira",High,4,141.3053077806235,141305.3077806235
Qualys (QLYS),Cybersecurity,1999,1055,120000000.0,20000000.0,30.6,95,2194400,125506192,128643847,131859943,135156442,138535353,141998736,145548705,149187422,152917108,156740036,160658537,164675000,"AWS, Enterprise TruRisk Platform, cloud agents",High,3,164.05395552314982,164053.95552314984
Tenable Holdings (TENB),Cybersecurity,2002,1995,224000000.0,15000000.0,-2.0,85,4149600,171482576,175769640,180163881,184667978,189284678,194016795,198867215,203838895,208934867,214158239,219512195,225000000,"AWS, Nessus, Tenable One, Hexa AI",High,4,215.92442645074223,215924.42645074223
Varonis Systems (VRNS),Cybersecurity,2005,2500,210000000.0,20000000.0,-5.0,90,5200000,125364501,127871791,130429227,133037812,135698568,138412539,141180790,144004406,146884494,149822184,152818627,155875000,"AWS, Azure, GCP, Athena AI, Salesforce, ServiceNow",High,6,242.30769230769232,242307.6923076923
Gen Digital (GEN),Cybersecurity,1982,3500,564000000.0,80000000.0,24.0,98,7280000,945009071,963909252,983187437,1002851186,1022908210,1043366374,1064233702,1085518376,1107228743,1129373318,1151960784,1175000000,"AWS, Norton, LifeLock, Avast platform, e-commerce stack",High,5,387.3626373626374,387362.6373626374
NetScout Systems (NTCT),Cybersecurity,1984,2073,160000000.0,15000000.0,-30.0,40,4311840,184418605,186262791,188125419,190006673,191906740,193825807,195764065,197721706,199698923,201695912,203712871,205750000,"Arbor, nGeniusONE, Omnis Cyber Investigator, packet systems",Medium,4,148.42851311736985,148428.51311736985
KnowBe4 (KNBE),Cybersecurity,2010,2356,86000000.0,15000000.0,8.0,95,4900480,85787527,88361152,91011987,93742347,96554617,99451255,102434793,105507837,108673072,111933264,115291262,118750000,"AWS, Ruby on Rails, PostgreSQL, React",High,4,70.19720517173828,70197.20517173827
Cloudflare (NET),Cybersecurity,2009,5156,491000000.0,350000000.0,-4.7,100,10724480,391913543,403670949,415781077,428254510,441102145,454335209,467965266,482004223,496464350,511358281,526699029,542500000,"AWS, Go, Rust, Kubernetes, Workers",High,5,228.915527839112,228915.527839112
Verint Systems (VRNT),Cybersecurity,1994,3800,130000000.0,20000000.0,2.0,70,7904000,127868566,131704623,135655762,139725434,143917198,148234713,152681755,157262207,161980074,166839476,171844660,177000000,"AWS, Azure, AI/ML analytics platform, Salesforce",Medium,4,65.78947368421052,65789.47368421052
PayPal Holdings (PYPL),FinTech,1998,23800,3317000000.0,800000000.0,15.8,100,49504000,7040203303,7145806353,7252993448,7361788350,7472215175,7584298403,7698062879,7813533822,7930736829,8049697882,8170443350,8293000000,"AWS, GCP, Java, Kubernetes, Kafka",High,5,335.02343244990305,335023.43244990305
Block Inc (XYZ),FinTech,2009,8000,2519000000.0,150000000.0,10.0,100,16640000,4604405899,4696494017,4790423897,4886232375,4983957023,5083636163,5185308886,5289015064,5394795365,5502691273,5612745098,5725000000,"AWS, GCP, Java, Kotlin, Kubernetes, Cash App platform",High,6,908.2932692307693,908293.2692307692
SoFi Technologies (SOFI),FinTech,2011,6100,648000000.0,80000000.0,13.3,100,12688000,652527018,672102829,692265913,713033891,734424908,756457655,779151384,802525926,826601704,851399755,876941748,903250000,"AWS, Galileo platform, Technisys, Kubernetes",High,4,204.2875157629256,204287.5157629256
Coinbase Global (COIN),FinTech,2012,4951,1600000000.0,100000000.0,18.1,100,10298080,1383935625,1411614337,1439846624,1468643556,1498016427,1527976756,1558536291,1589707017,1621501157,1653931180,1687009804,1720750000,"AWS, Go, Ethereum, Ruby on Rails, Kubernetes",High,5,776.8438388515141,776843.838851514
Affirm Holdings (AFRM),FinTech,2012,2206,590000000.0,192000000.0,1.6,100,4588480,523562231,544504720,566284909,588936305,612493757,636993508,662473248,688972178,716531065,745192308,775000000,806000000,"AWS, Python, React, Kubernetes",High,4,514.3315433433294,514331.5433433294
Robinhood Markets (HOOD),FinTech,2013,3800,700000000.0,50000000.0,38.0,100,7904000,441000000,486000000,467000000,471000000,618000000,682000000,635000000,1010000000,927000000,989000000,1270000000,1450000000,"AWS, Python, React Native, Kubernetes",High,4,354.251012145749,354251.01214574894
Upstart Holdings (UPST),FinTech,2012,1300,220000000.0,15000000.0,5.2,100,2704000,112860000,117990000,133380000,148770000,127794000,127630000,162140000,216436000,213371000,257291000,277105000,296000000,"AWS, Python, TensorFlow, AI lending models",High,4,325.4437869822485,325443.78698224854
Toast Inc (TOST),FinTech,2011,6500,800000000.0,110000000.0,5.6,85,13520000,999217868,1039186583,1080754046,1123984208,1168943576,1215701319,1264329372,1314902547,1367498649,1422198595,1479086538,1538250000,"AWS, Kafka, Java, React, POS hardware/software stack",High,5,295.85798816568047,295857.9881656805
Marqeta Inc (MQ),FinTech,2010,700,63000000.0,10000000.0,-2.0,100,1456000,162281040,169042750,169042750,175804460,117968000,125270000,127967000,135795000,139073000,150392000,163306000,176000000,"AWS, Java, card issuing APIs, Kubernetes",Medium,4,173.07692307692307,173076.92307692306
