firm_llc_id,sector,founded_year,employees_fte,annual_tech_spend,capital_invested,profit_margin_percent,online_revenue_share_percent,total_quarterly_labor_hours,quarterly_revenue_2023_q1,quarterly_revenue_2023_q2,quarterly_revenue_2023_q3,quarterly_revenue_2023_q4,quarterly_revenue_2024_q1,quarterly_revenue_2024_q2,quarterly_revenue_2024_q3,quarterly_revenue_2024_q4,quarterly_revenue_2025_q1,quarterly_revenue_2025_q2,quarterly_revenue_2025_q3,quarterly_revenue_2025_q4,tech_tools_list,tools_frequency_of_use,n_tools,tls_raw,tls_scaled
Upwork (UPWK),Tech,2015,2100000,85000000,50000000,3.5,100,336000000,503600000,508400000,515700000,526300000,510900000,499300000,515000000,530000000,545000000,560000000,0,0,"AWS, React, Python, Kafka, PostgreSQL, DataDog, Splunk, GitHub, Jira",High,9,2.276785714,2276.785714
BigCommerce (BIGC),Tech,2009,2300000,120000000,65000000,-6.2,100,368000000,72000000,75400000,78000000,84200000,80400000,84300000,88000000,92500000,96000000,100000000,0,0,"AWS, Google Cloud, PHP, React, Kubernetes, MySQL, New Relic, GitLab",High,8,2.608695652,2608.695652
Jamf Holding (JAMF),Tech,2002,2800000,95000000,40000000,-5.8,100,448000000,140800000,150100000,150600000,150900000,152100000,156700000,160000000,163000000,166000000,169000000,0,0,"AWS, Azure, Python, Swift, Kafka, PostgreSQL, Jenkins, Jira",High,8,1.696428571,1696.428571
Asana (ASAN),Tech,2008,1900000,110000000,70000000,-34,100,304000000,152400000,162500000,166500000,171100000,171400000,172900000,176000000,180000000,184000000,188000000,0,0,"Proprietary ""Luna"" DB, React, TypeScript, AWS, Kafka, Presto, Figma, GitHub",High,8,2.894736842,2894.736842
Array Technologies (ARRY),Tech,1989,1400000,18000000,25000000,7.1,15,224000000,376000000,500600000,350400000,341600000,153400000,326400000,360000000,400000000,220000000,380000000,0,0,"SAP, SolidWorks, Salesforce, Tableau, Python, AWS IoT",Medium,6,0.4821428571,482.1428571
Shoals Technologies (SHLS),Tech,1996,1200000,12000000,40000000,21.5,10,192000000,105200000,134600000,119900000,130400000,90400000,79100000,85000000,95000000,100000000,110000000,0,0,"AutoCAD, PLM systems, SAP, Salesforce, AWS",Low-Medium,5,0.3125,312.5
FuelCell Energy (FCEL),Tech,1969,1000000,20000000,30000000,-20,0,520000,22200000,25100000,28400000,30100000,32500000,35200000,38000000,40500000,43000000,45800000,0,0,"AWS, Python, MATLAB, Simulink, ANSYS, SolidWorks",Medium,6,230.7692308,230769.2308
Desktop Metal (DM),Tech,2015,800000,25000000,40000000,-15.5,20,416000,45300000,48100000,50200000,52600000,54800000,57200000,59500000,62000000,64500000,67200000,0,0,"SolidWorks, ANSYS, Python, AWS, Kubernetes, GitLab",High,6,360.5769231,360576.9231
Proto Labs (PRLB),Tech,1999,2100000,18000000,22000000,8.2,85,1092000,122400000,125600000,128900000,131200000,133500000,136800000,139100000,142400000,145700000,149100000,0,0,"AWS, Python, CAD/CAM, SAP, Tableau, Jira",High,6,98.9010989,98901.0989
iRhythm Technologies (IRTC),Tech,2006,1400000,30000000,45000000,-12.3,90,728000,110500000,115200000,119800000,124500000,129300000,134200000,139100000,144000000,149000000,154100000,0,0,"AWS, Python, TensorFlow, PostgreSQL, React, GitHub",High,6,247.2527473,247252.7473
Cloudflare (NET),Tech,2009,3500000,150000000,200000000,-5.8,100,1820000,290100000,305400000,320800000,336500000,352300000,368200000,384300000,400500000,417000000,433700000,0,0,"Proprietary CDN, Rust, Go, Kubernetes, PostgreSQL, DataDog",High,6,494.5054945,494505.4945
Fastly (FSLY),Tech,2011,1300000,80000000,100000000,-18.5,100,676000,102500000,108300000,114200000,120100000,126200000,132400000,138700000,145100000,151600000,158200000,0,0,"AWS, Terraform, Go, Varnish, New Relic, GitHub",High,6,710.0591716,710059.1716
MongoDB (MDB),Tech,2007,5200000,220000000,180000000,-7.4,100,2704000,368400000,388200000,408900000,430500000,452200000,474800000,498300000,522800000,547400000,573100000,0,0,"Proprietary DB, AWS, Kubernetes, Python, DataDog, Jira",High,6,488.1656805,488165.6805
Zebra Technologies (ZBRA),Tech,1969,10500000,120000000,150000000,10.5,40,5460000,1450000000,1480000000,1510000000,1540000000,1570000000,1600000000,1630000000,1660000000,1690000000,1720000000,0,0,"AWS, Java, SAP, Tableau, Salesforce, IoT Edge",Medium,6,131.8681319,131868.1319
Rockwell Automation (ROK),Tech,1903,26000000,250000000,300000000,13.2,25,13520000,2120000000,2180000000,2240000000,2300000000,2360000000,2420000000,2480000000,2540000000,2600000000,2660000000,0,0,"Azure, Python, Ignition, SAP, Tableau, Studio 5000",Medium,6,110.9467456,110946.7456
Etsy (ETSY),Tech,2005,2400000,110000000,90000000,12.8,100,1248000,640500000,655200000,670100000,685200000,700500000,716000000,731700000,747600000,763700000,780000000,0,0,"AWS, React, Python, Kafka, PostgreSQL, GitHub",High,6,528.8461538,528846.1538
