firm_llc_id,sector,founded_year,employees_fte,annual_tech_spend,capital_invested,profit_margin_percent,online_revenue_share_percent,total_quarterly_labor_hours,quarterly_revenue_2023_Q1,quarterly_revenue_2023_Q2,quarterly_revenue_2023_Q3,quarterly_revenue_2023_Q4,quarterly_revenue_2024_Q1,quarterly_revenue_2024_Q2,quarterly_revenue_2024_Q3,quarterly_revenue_2024_Q4,quarterly_revenue_2025_Q1,quarterly_revenue_2025_Q2,quarterly_revenue_2025_Q3,quarterly_revenue_2025_Q4,tech_tools_list,tools_frequency_of_use
Upwork (UPWK),Tech,2015,"2,100,000",$85M,$50M,3.50%,100%,"336,000,000","503,600,000","508,400,000","515,700,000","526,300,000","510,900,000","499,300,000","515,000,000","530,000,000","545,000,000","560,000,000",0,0,"AWS, React, Python, Kafka, PostgreSQL, DataDog, Splunk, GitHub, Jira",High
BigCommerce (BIGC),Tech,2009,"2,300,000",$120M,$65M,-6.20%,100%,"368,000,000","72,000,000","75,400,000","78,000,000","84,200,000","80,400,000","84,300,000","88,000,000","92,500,000","96,000,000","100,000,000",0,0,"AWS, Google Cloud, PHP, React, Kubernetes, MySQL, New Relic, GitLab",High
Jamf Holding (JAMF),Tech,2002,"2,800,000",$95M,$40M,-5.80%,100%,"448,000,000","140,800,000","150,100,000","150,600,000","150,900,000","152,100,000","156,700,000","160,000,000","163,000,000","166,000,000","169,000,000",0,0,"AWS, Azure, Python, Swift, Kafka, PostgreSQL, Jenkins, Jira",High
Asana (ASAN),Tech,2008,"1,900,000",$110M,$70M,-34.00%,100%,"304,000,000","152,400,000","162,500,000","166,500,000","171,100,000","171,400,000","172,900,000","176,000,000","180,000,000","184,000,000","188,000,000",0,0,"Proprietary ""Luna"" DB, React, TypeScript, AWS, Kafka, Presto, Figma, GitHub",High
Array Technologies (ARRY),Tech,1989,"1,400,000",$18M,$25M,7.10%,15%,"224,000,000","376,000,000","500,600,000","350,400,000","341,600,000","153,400,000","326,400,000","360,000,000","400,000,000","220,000,000","380,000,000",0,0,"SAP, SolidWorks, Salesforce, Tableau, Python, AWS IoT",Medium
Shoals Technologies (SHLS),Tech,1996,"1,200,000",$12M,$40M,21.50%,10%,"192,000,000","105,200,000","134,600,000","119,900,000","130,400,000","90,400,000","79,100,000","85,000,000","95,000,000","100,000,000","110,000,000",0,0,"AutoCAD, PLM systems, SAP, Salesforce, AWS",Low-Medium
FuelCell Energy (FCEL),Tech,1969,"1,000,000",$20M,$30M,-20.00%,0%,"520,000","22,200,000","25,100,000","28,400,000","30,100,000","32,500,000","35,200,000","38,000,000","40,500,000","43,000,000","45,800,000",0,0,"AWS, Python, MATLAB, Simulink, ANSYS, SolidWorks",Medium
Desktop Metal (DM),Tech,2015,"800,000",$25M,$40M,-15.50%,20%,"416,000","45,300,000","48,100,000","50,200,000","52,600,000","54,800,000","57,200,000","59,500,000","62,000,000","64,500,000","67,200,000",0,0,"SolidWorks, ANSYS, Python, AWS, Kubernetes, GitLab",High
Proto Labs (PRLB),Tech,1999,"2,100,000",$18M,$22M,8.20%,85%,"1,092,000","122,400,000","125,600,000","128,900,000","131,200,000","133,500,000","136,800,000","139,100,000","142,400,000","145,700,000","149,100,000",0,0,"AWS, Python, CAD/CAM, SAP, Tableau, Jira",High
iRhythm Technologies (IRTC),Tech,2006,"1,400,000",$30M,$45M,-12.30%,90%,"728,000","110,500,000","115,200,000","119,800,000","124,500,000","129,300,000","134,200,000","139,100,000","144,000,000","149,000,000","154,100,000",0,0,"AWS, Python, TensorFlow, PostgreSQL, React, GitHub",High
Cloudflare (NET),Tech,2009,"3,500,000",$150M,$200M,-5.80%,100%,"1,820,000","290,100,000","305,400,000","320,800,000","336,500,000","352,300,000","368,200,000","384,300,000","400,500,000","417,000,000","433,700,000",0,0,"Proprietary CDN, Rust, Go, Kubernetes, PostgreSQL, DataDog",High
Fastly (FSLY),Tech,2011,"1,300,000",$80M,$100M,-18.50%,100%,"676,000","102,500,000","108,300,000","114,200,000","120,100,000","126,200,000","132,400,000","138,700,000","145,100,000","151,600,000","158,200,000",0,0,"AWS, Terraform, Go, Varnish, New Relic, GitHub",High
MongoDB (MDB),Tech,2007,"5,200,000",$220M,$180M,-7.40%,100%,"2,704,000","368,400,000","388,200,000","408,900,000","430,500,000","452,200,000","474,800,000","498,300,000","522,800,000","547,400,000","573,100,000",0,0,"Proprietary DB, AWS, Kubernetes, Python, DataDog, Jira",High
Zebra Technologies (ZBRA),Tech,1969,"10,500,000",$120M,$150M,10.50%,40%,"5,460,000","1,450,000,000","1,480,000,000","1,510,000,000","1,540,000,000","1,570,000,000","1,600,000,000","1,630,000,000","1,660,000,000","1,690,000,000","1,720,000,000",0,0,"AWS, Java, SAP, Tableau, Salesforce, IoT Edge",Medium
Rockwell Automation (ROK),Tech,1903,"26,000,000",$250M,$300M,13.20%,25%,"13,520,000","2,120,000,000","2,180,000,000","2,240,000,000","2,300,000,000","2,360,000,000","2,420,000,000","2,480,000,000","2,540,000,000","2,600,000,000","2,660,000,000",0,0,"Azure, Python, Ignition, SAP, Tableau, Studio 5000",Medium
Etsy (ETSY),Tech,2005,"2,400,000",$110M,$90M,12.80%,100%,"1,248,000","640,500,000","655,200,000","670,100,000","685,200,000","700,500,000","716,000,000","731,700,000","747,600,000","763,700,000","780,000,000",0,0,"AWS, React, Python, Kafka, PostgreSQL, GitHub",High
Chewy (CHWY),Tech,2011,"21,000,000",$180M,$220M,-2.50%,100%,"10,920,000","2,780,000,000","2,850,000,000","2,920,000,000","2,990,000,000","3,060,000,000","3,130,000,000","3,200,000,000","3,270,000,000","3,340,000,000","3,410,000,000",0,0,"AWS, Java, Kafka, React, Tableau, Jenkins",High
Bloom Energy (BE),Tech,2001,"2,800,000",$95M,$120M,-8.90%,5%,"1,456,000","275,300,000","290,100,000","305,200,000","320,600,000","336,300,000","352,300,000","368,600,000","385,200,000","402,100,000","419,300,000",0,0,"AWS, Python, MATLAB, SolidWorks, SAP, DataDog",Medium
Quanta Services (PWR),Tech,1997,"48,000,000",$350M,$400M,5.80%,10%,"24,960,000","5,120,000,000","5,250,000,000","5,380,000,000","5,510,000,000","5,640,000,000","5,770,000,000","5,900,000,000","6,030,000,000","6,160,000,000","6,290,000,000",0,0,"SAP, Oracle, AutoCAD, AWS, Tableau, GIS tools",Medium
SunPower (SPWR),Tech,1985,"3,000,000",$60M,$80M,-4.20%,30%,"1,560,000","430,500,000","445,200,000","460,100,000","475,200,000","490,500,000","506,000,000","521,700,000","537,600,000","553,700,000","570,000,000",0,0,"AWS, Python, Salesforce, SAP, Tableau, Jira",Medium
